ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
2459	8	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2460	9	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2461	35	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2462	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2463	19	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2464	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2465	40	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2466	13	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2467	6	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2468	2	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2469	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2470	32	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2471	15	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
